"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051603_7800246140_R03C02","0.66","-8.78","-0.97","-0.09","1.06","Never Smoker","0.09","0.22","0.69","Never Smoker"
"GSM1051604_7800246140_R04C02","12.58","-3.14","2.46","-0.64","-1.81","Current Smoker","0.94","0.04","0.01","Current Smoker"
"GSM1051605_7800246140_R05C02","-0.25","-7.70","-1.03","0.13","0.90","Never Smoker","0.09","0.29","0.62","Never Smoker"
"GSM1051606_7800246140_R06C02","1.53","-6.75","0.49","-0.14","-0.34","Current Smoker","0.51","0.27","0.22","Current Smoker"
"GSM1051607_7800246188_R01C01","3.93","-6.08","-0.57","0.35","0.22","Former Smoker","0.18","0.44","0.39","Former Smoker"
"GSM1051608_7800246188_R02C01","-0.89","-5.36","0.24","-0.57","0.33","Never Smoker","0.39","0.18","0.43","Never Smoker"
"GSM1051609_7800246188_R03C01","-0.51","-9.58","-1.04","-0.18","1.22","Never Smoker","0.08","0.18","0.74","Never Smoker"
"GSM1051610_7800246188_R04C01","0.81","-8.03","-0.96","0.17","0.79","Never Smoker","0.10","0.32","0.58","Never Smoker"
"GSM1051611_7800246188_R05C01","5.53","-5.57","0.02","-0.01","-0.01","Current Smoker","0.34","0.33","0.33","Current Smoker"
"GSM1051612_7800246188_R06C01","0.09","-6.27","-0.98","-0.02","1.00","Never Smoker","0.09","0.24","0.67","Never Smoker"
"GSM1051613_7800246188_R01C02","0.76","-6.21","0.41","-1.20","0.80","Never Smoker","0.37","0.07","0.55","Never Smoker"
"GSM1051614_7800246188_R02C02","1.68","-7.14","0.07","0.00","-0.08","Current Smoker","0.36","0.33","0.31","Current Smoker"
"GSM1051615_7800246188_R04C02","2.07","-5.66","-0.34","0.48","-0.14","Former Smoker","0.22","0.50","0.27","Former Smoker"
"GSM1051616_7800246188_R05C02","1.61","-6.55","-0.14","0.52","-0.38","Former Smoker","0.27","0.52","0.21","Former Smoker"
"GSM1051617_7800246188_R06C02","0.23","-7.35","-1.63","0.33","1.30","Never Smoker","0.04","0.26","0.70","Never Smoker"
"GSM1051618_7796814016_R01C01","-4.19","-9.65","-1.48","0.40","1.08","Never Smoker","0.05","0.32","0.63","Never Smoker"
"GSM1051619_7796814016_R03C01","-0.07","-7.71","-1.46","0.24","1.22","Never Smoker","0.05","0.26","0.69","Never Smoker"
"GSM1051620_7796814016_R04C01","-3.62","-8.64","-1.21","0.69","0.52","Former Smoker","0.08","0.50","0.42","Former Smoker"
