"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051741_7800246041_R02C02","0.02","-6.01","-0.46","0.33","0.13","Former Smoker","0.20","0.44","0.36","Former Smoker"
"GSM1051742_7800246041_R03C02","-0.53","-8.65","-0.73","-0.23","0.96","Never Smoker","0.12","0.20","0.67","Never Smoker"
"GSM1051743_7800246041_R04C02","-3.61","-8.26","-0.97","-0.01","0.97","Never Smoker","0.09","0.25","0.66","Never Smoker"
"GSM1051744_7800246041_R05C02","3.21","-5.82","-0.28","0.11","0.18","Never Smoker","0.25","0.36","0.39","Never Smoker"
"GSM1051745_7800246041_R06C02","3.43","-8.52","-0.48","0.06","0.42","Never Smoker","0.19","0.33","0.47","Never Smoker"
"GSM1051746_7800246044_R01C01","-1.11","-8.27","-1.23","0.27","0.96","Never Smoker","0.07","0.31","0.62","Never Smoker"
"GSM1051747_7800246044_R02C01","-3.43","-7.58","-0.93","0.05","0.88","Never Smoker","0.10","0.27","0.62","Never Smoker"
"GSM1051748_7800246044_R03C01","14.33","-3.81","1.78","-0.01","-1.78","Current Smoker","0.84","0.14","0.02","Current Smoker"
"GSM1051749_7800246044_R04C01","-2.03","-8.61","-1.15","0.04","1.11","Never Smoker","0.07","0.24","0.69","Never Smoker"
"GSM1051750_7800246044_R05C01","9.07","-4.08","2.43","-0.49","-1.94","Current Smoker","0.94","0.05","0.01","Current Smoker"
"GSM1051751_7800246044_R06C01","1.07","-8.84","-0.78","0.63","0.15","Former Smoker","0.13","0.54","0.33","Former Smoker"
"GSM1051752_7800246044_R01C02","-1.60","-8.75","-1.12","-0.12","1.24","Never Smoker","0.07","0.19","0.74","Never Smoker"
"GSM1051753_7800246044_R02C02","1.44","-6.08","-0.13","-0.37","0.50","Never Smoker","0.27","0.22","0.51","Never Smoker"
"GSM1051754_7800246044_R03C02","0.32","-8.58","-0.28","-0.36","0.63","Never Smoker","0.23","0.21","0.56","Never Smoker"
"GSM1051755_7800246044_R04C02","-1.71","-7.75","-1.10","-0.46","1.56","Never Smoker","0.06","0.11","0.83","Never Smoker"
"GSM1051756_7800246044_R05C02","9.09","-4.87","1.63","-0.31","-1.33","Current Smoker","0.84","0.12","0.04","Current Smoker"
"GSM1051757_7800246046_R01C01","5.09","-4.15","0.75","-0.66","-0.09","Current Smoker","0.60","0.15","0.26","Current Smoker"
"GSM1051758_7800246046_R02C01","1.40","-7.67","-0.67","0.05","0.62","Never Smoker","0.15","0.31","0.54","Never Smoker"
"GSM1051759_7800246046_R03C01","5.92","-4.68","0.00","-0.08","0.08","Never Smoker","0.33","0.31","0.36","Never Smoker"
"GSM1051760_7800246046_R04C01","-2.91","-9.99","-0.97","0.02","0.95","Never Smoker","0.10","0.26","0.65","Never Smoker"
"GSM1051761_7800246046_R05C01","13.53","-3.74","2.34","0.07","-2.40","Current Smoker","0.90","0.09","0.01","Current Smoker"
"GSM1051762_7800246046_R06C01","1.64","-7.14","0.34","-0.71","0.38","Never Smoker","0.42","0.15","0.44","Never Smoker"
"GSM1051763_7800246046_R01C02","-0.71","-5.94","-0.03","-0.38","0.40","Never Smoker","0.31","0.22","0.47","Never Smoker"
"GSM1051764_7800246046_R02C02","-2.23","-8.05","-0.99","0.10","0.88","Never Smoker","0.10","0.28","0.62","Never Smoker"
"GSM1051765_7800246046_R03C02","6.04","-2.97","1.12","-0.15","-0.97","Current Smoker","0.71","0.20","0.09","Current Smoker"
"GSM1051766_7800246046_R04C02","-3.80","-8.44","-1.29","0.12","1.17","Never Smoker","0.06","0.24","0.70","Never Smoker"
"GSM1051767_7800246046_R05C02","0.25","-8.50","-1.20","0.32","0.88","Never Smoker","0.07","0.34","0.59","Never Smoker"
"GSM1051768_7800246046_R06C02","0.03","-8.78","-0.95","0.07","0.88","Never Smoker","0.10","0.28","0.62","Never Smoker"
"GSM1051769_7800246057_R01C01","-1.04","-8.41","-1.34","-0.45","1.79","Never Smoker","0.04","0.09","0.87","Never Smoker"
"GSM1051770_7800246057_R02C01","-2.44","-9.62","-1.43","0.14","1.29","Never Smoker","0.05","0.23","0.72","Never Smoker"
"GSM1051771_7800246057_R03C01","-0.56","-9.20","-1.32","-0.28","1.59","Never Smoker","0.05","0.13","0.83","Never Smoker"
"GSM1051772_7800246057_R04C01","10.51","-3.84","0.66","-0.23","-0.44","Current Smoker","0.57","0.24","0.19","Current Smoker"
"GSM1051773_7800246057_R05C01","9.56","-5.35","0.58","0.00","-0.58","Current Smoker","0.53","0.30","0.17","Current Smoker"
"GSM1051774_7800246057_R06C01","-0.96","-8.68","-0.82","-0.24","1.06","Never Smoker","0.11","0.19","0.70","Never Smoker"
"GSM1051775_7800246057_R01C02","0.17","-7.58","-0.92","0.15","0.78","Never Smoker","0.11","0.31","0.58","Never Smoker"
"GSM1051776_7800246057_R02C02","3.39","-5.18","-0.02","0.20","-0.18","Former Smoker","0.32","0.40","0.28","Former Smoker"
"GSM1051777_7800246057_R03C02","11.51","-3.35","1.72","-0.52","-1.20","Current Smoker","0.86","0.09","0.05","Current Smoker"
"GSM1051778_7800246057_R04C02","15.48","-2.57","1.78","0.31","-2.10","Current Smoker","0.80","0.18","0.02","Current Smoker"
"GSM1051779_7800246057_R05C02","-4.40","-9.19","-1.20","0.54","0.66","Never Smoker","0.08","0.43","0.49","Never Smoker"
"GSM1051780_7800246057_R06C02","11.61","-3.81","1.88","-0.13","-1.75","Current Smoker","0.86","0.12","0.02","Current Smoker"
"GSM1051781_7800246068_R01C01","8.73","-3.95","1.09","0.67","-1.76","Current Smoker","0.58","0.38","0.03","Current Smoker"
"GSM1051782_7800246068_R02C01","9.75","-3.31","2.49","-0.47","-2.01","Current Smoker","0.94","0.05","0.01","Current Smoker"
"GSM1051783_7800246068_R03C01","0.67","-5.75","0.36","0.02","-0.38","Current Smoker","0.46","0.32","0.22","Current Smoker"
"GSM1051784_7800246068_R04C01","5.70","-4.92","1.37","-0.39","-0.98","Current Smoker","0.79","0.14","0.07","Current Smoker"
"GSM1051785_7800246068_R05C01","4.97","-3.00","1.86","-0.40","-1.46","Current Smoker","0.88","0.09","0.03","Current Smoker"
"GSM1051786_7800246068_R06C01","-1.94","-10.25","-1.32","0.15","1.17","Never Smoker","0.06","0.25","0.69","Never Smoker"
"GSM1051787_7800246068_R03C02","-1.35","-7.58","-0.64","-0.05","0.69","Never Smoker","0.15","0.27","0.57","Never Smoker"
"GSM1051788_7800246068_R04C02","2.75","-6.35","-0.69","0.43","0.26","Former Smoker","0.15","0.46","0.39","Former Smoker"
"GSM1051789_7800246068_R05C02","0.12","-6.91","-0.76","0.38","0.37","Former Smoker","0.14","0.43","0.43","Former Smoker"
"GSM1051790_7800246068_R06C02","-1.72","-8.92","-1.27","0.27","1.00","Never Smoker","0.06","0.30","0.63","Never Smoker"
"GSM1051791_7800246079_R01C01","16.93","-1.65","3.21","-0.48","-2.73","Current Smoker","0.97","0.02","0.00","Current Smoker"
"GSM1051792_7800246079_R02C01","1.93","-6.77","-0.47","0.45","0.02","Former Smoker","0.19","0.49","0.32","Former Smoker"
"GSM1051793_7800246079_R04C01","6.56","-5.96","0.16","-0.08","-0.08","Current Smoker","0.39","0.30","0.31","Current Smoker"
"GSM1051794_7800246079_R05C01","7.86","-5.20","1.10","0.05","-1.15","Current Smoker","0.69","0.24","0.07","Current Smoker"
"GSM1051795_7800246079_R06C01","10.10","-4.36","1.35","-0.22","-1.14","Current Smoker","0.77","0.16","0.06","Current Smoker"
"GSM1051796_7800246079_R01C02","0.11","-6.56","-0.88","0.37","0.51","Never Smoker","0.12","0.41","0.47","Never Smoker"
"GSM1051797_7800246079_R02C02","-1.45","-7.86","-0.80","-0.60","1.40","Never Smoker","0.09","0.11","0.80","Never Smoker"
"GSM1051798_7800246079_R03C02","16.48","-0.23","3.30","0.06","-3.35","Current Smoker","0.96","0.04","0.00","Current Smoker"
"GSM1051799_7800246079_R04C02","1.57","-7.92","-0.88","-0.30","1.19","Never Smoker","0.09","0.17","0.74","Never Smoker"
"GSM1051800_7800246079_R05C02","-0.60","-8.28","-1.13","0.20","0.93","Never Smoker","0.08","0.30","0.62","Never Smoker"
"GSM1051801_7800246079_R06C02","-4.88","-7.59","-1.50","0.27","1.24","Never Smoker","0.04","0.26","0.69","Never Smoker"
"GSM1051802_7512560084_R05C02","-0.84","-9.23","-0.75","-0.59","1.34","Never Smoker","0.10","0.12","0.79","Never Smoker"
"GSM1051803_7512560084_R06C02","10.38","-1.70","2.38","-0.01","-2.37","Current Smoker","0.91","0.08","0.01","Current Smoker"
"GSM1051804_7512560103_R01C01","3.06","-6.11","0.33","-0.49","0.16","Current Smoker","0.44","0.19","0.37","Current Smoker"
"GSM1051805_7512560103_R02C01","9.42","-3.30","1.96","-0.68","-1.28","Current Smoker","0.90","0.06","0.04","Current Smoker"
"GSM1051806_7512560103_R03C01","2.31","-9.60","-1.15","-0.12","1.27","Never Smoker","0.07","0.19","0.75","Never Smoker"
"GSM1051807_7512560103_R04C01","10.94","-3.71","2.01","-0.45","-1.56","Current Smoker","0.90","0.08","0.03","Current Smoker"
"GSM1051808_7512560103_R05C01","1.55","-8.34","-0.60","-0.55","1.15","Never Smoker","0.13","0.13","0.74","Never Smoker"
"GSM1051809_7512560103_R06C01","1.50","-7.25","-0.65","-0.57","1.22","Never Smoker","0.12","0.13","0.76","Never Smoker"
"GSM1051810_7512560103_R01C02","4.77","-4.37","-0.39","-0.16","0.55","Never Smoker","0.21","0.26","0.53","Never Smoker"
"GSM1051811_7512560103_R02C02","9.98","-4.65","2.03","-1.27","-0.76","Current Smoker","0.91","0.03","0.06","Current Smoker"
"GSM1051812_7512560103_R03C02","8.44","-4.46","0.90","0.28","-1.17","Current Smoker","0.60","0.32","0.08","Current Smoker"
"GSM1051813_7512560103_R04C02","1.10","-6.63","-0.53","-0.06","0.59","Never Smoker","0.18","0.28","0.54","Never Smoker"
"GSM1051814_7512560103_R05C02","-2.70","-8.49","-0.51","-0.19","0.70","Never Smoker","0.17","0.24","0.59","Never Smoker"
"GSM1051815_7512560103_R06C02","1.28","-6.33","-0.35","-0.21","0.56","Never Smoker","0.22","0.25","0.53","Never Smoker"
"GSM1051816_7512560104_R01C01","6.46","-6.45","0.40","-0.05","-0.35","Current Smoker","0.47","0.30","0.22","Current Smoker"
"GSM1051817_7512560104_R02C01","12.19","-3.33","2.47","-0.77","-1.70","Current Smoker","0.95","0.04","0.01","Current Smoker"
"GSM1051818_7512560104_R03C01","14.03","-3.49","1.76","-0.17","-1.58","Current Smoker","0.85","0.12","0.03","Current Smoker"
"GSM1051819_7512560104_R04C01","14.61","-1.17","2.89","0.08","-2.97","Current Smoker","0.94","0.06","0.00","Current Smoker"
"GSM1051820_7512560104_R05C01","-2.01","-8.85","-1.38","0.17","1.21","Never Smoker","0.05","0.25","0.70","Never Smoker"
"GSM1051821_7512560104_R06C01","8.59","-0.81","2.54","-0.53","-2.01","Current Smoker","0.95","0.04","0.01","Current Smoker"
"GSM1051822_7512560104_R01C02","-0.70","-8.28","-0.86","-0.08","0.94","Never Smoker","0.11","0.24","0.65","Never Smoker"
"GSM1051823_7512560104_R02C02","-3.49","-8.49","-1.17","-0.07","1.24","Never Smoker","0.07","0.20","0.73","Never Smoker"
"GSM1051824_7512560104_R03C02","0.45","-6.45","-0.47","-0.28","0.75","Never Smoker","0.18","0.22","0.60","Never Smoker"
"GSM1051825_7512560104_R05C02","-0.14","-6.36","-0.17","0.20","-0.04","Former Smoker","0.28","0.40","0.32","Former Smoker"
"GSM1051826_7512560104_R06C02","5.51","-6.05","0.29","-0.07","-0.22","Current Smoker","0.44","0.30","0.26","Current Smoker"
"GSM1051827_7512560115_R01C01","8.82","-4.83","1.96","-0.54","-1.42","Current Smoker","0.90","0.07","0.03","Current Smoker"
"GSM1051828_7512560115_R02C01","-0.59","-8.37","-0.91","-0.10","1.00","Never Smoker","0.10","0.22","0.68","Never Smoker"
"GSM1051829_7512560115_R03C01","-1.88","-8.21","-1.18","0.47","0.71","Never Smoker","0.08","0.41","0.52","Never Smoker"
"GSM1051830_7512560115_R04C01","-2.38","-8.43","-0.64","-0.11","0.75","Never Smoker","0.15","0.25","0.60","Never Smoker"
"GSM1051831_7512560115_R05C01","8.23","-5.08","1.93","-0.34","-1.59","Current Smoker","0.88","0.09","0.03","Current Smoker"
"GSM1051832_7512560115_R06C01","-1.86","-9.81","-1.21","0.27","0.95","Never Smoker","0.07","0.31","0.62","Never Smoker"
"GSM1051833_7512560115_R01C02","-1.56","-9.74","-0.97","-0.40","1.37","Never Smoker","0.08","0.14","0.79","Never Smoker"
"GSM1051834_7512560115_R02C02","0.20","-7.50","-1.24","0.58","0.67","Never Smoker","0.07","0.44","0.48","Never Smoker"
"GSM1051835_7512560115_R03C02","-1.86","-8.71","-1.07","-0.31","1.37","Never Smoker","0.07","0.15","0.78","Never Smoker"
"GSM1051836_7512560115_R04C02","4.14","-4.99","0.22","-0.37","0.15","Current Smoker","0.40","0.22","0.37","Current Smoker"
"GSM1051837_7512560115_R05C02","-1.36","-8.02","-0.96","-0.07","1.03","Never Smoker","0.09","0.23","0.68","Never Smoker"
"GSM1051838_7512560115_R06C02","3.25","-5.82","0.00","-0.18","0.18","Never Smoker","0.33","0.28","0.39","Never Smoker"
"GSM1051839_7512560124_R01C01","0.72","-5.65","0.13","0.00","-0.13","Current Smoker","0.38","0.33","0.29","Current Smoker"
"GSM1051840_7512560124_R02C01","11.29","-3.52","2.13","-0.04","-2.09","Current Smoker","0.89","0.10","0.01","Current Smoker"
"GSM1051841_7512560124_R03C01","-1.53","-8.64","-0.92","0.23","0.70","Never Smoker","0.11","0.34","0.55","Never Smoker"
"GSM1051842_7512560124_R04C01","10.93","-2.89","1.87","0.00","-1.86","Current Smoker","0.85","0.13","0.02","Current Smoker"
"GSM1051843_7512560124_R05C01","-2.29","-9.03","-1.15","0.02","1.13","Never Smoker","0.07","0.23","0.70","Never Smoker"
"GSM1051844_7512560124_R06C01","-0.24","-5.99","0.43","-0.22","-0.22","Current Smoker","0.49","0.26","0.26","Current Smoker"
"GSM1051845_7512560124_R01C02","-1.88","-8.68","-0.54","-0.83","1.37","Never Smoker","0.12","0.09","0.80","Never Smoker"
"GSM1051846_7512560124_R02C02","-0.71","-7.70","-0.40","-0.41","0.81","Never Smoker","0.19","0.18","0.63","Never Smoker"
"GSM1051847_7512560124_R03C02","4.50","-5.26","1.71","-0.45","-1.26","Current Smoker","0.86","0.10","0.04","Current Smoker"
"GSM1051848_7512560124_R04C02","9.93","-4.29","1.59","-0.47","-1.12","Current Smoker","0.84","0.11","0.06","Current Smoker"
"GSM1051849_7512560124_R05C02","-0.66","-6.75","0.20","-0.44","0.24","Never Smoker","0.39","0.21","0.41","Never Smoker"
"GSM1051850_7512560124_R06C02","2.61","-7.20","-0.10","-0.29","0.39","Never Smoker","0.29","0.24","0.47","Never Smoker"
"GSM1051851_7512560128_R01C01","-1.14","-7.58","-0.42","-0.28","0.71","Never Smoker","0.19","0.22","0.59","Never Smoker"
"GSM1051852_7512560128_R02C01","8.85","-5.88","1.04","-0.19","-0.85","Current Smoker","0.69","0.20","0.10","Current Smoker"
"GSM1051853_7512560128_R04C01","2.42","-7.18","-0.04","-0.12","0.16","Never Smoker","0.32","0.29","0.39","Never Smoker"
"GSM1051854_7512560128_R05C01","5.13","-6.62","-0.10","-0.27","0.38","Never Smoker","0.29","0.24","0.47","Never Smoker"
"GSM1051855_7512560128_R06C01","-0.56","-9.53","-1.33","-0.13","1.46","Never Smoker","0.05","0.16","0.79","Never Smoker"
"GSM1051856_7512560128_R01C02","-2.07","-8.52","-1.76","0.10","1.66","Never Smoker","0.03","0.17","0.80","Never Smoker"
"GSM1051857_7512560128_R02C02","5.17","-3.75","2.14","-0.48","-1.66","Current Smoker","0.91","0.07","0.02","Current Smoker"
"GSM1051858_7512560128_R03C02","-0.90","-10.21","-1.10","-0.12","1.21","Never Smoker","0.07","0.19","0.73","Never Smoker"
"GSM1051859_7512560128_R04C02","8.37","-4.99","1.70","0.17","-1.87","Current Smoker","0.80","0.17","0.02","Current Smoker"
"GSM1051860_7512560128_R05C02","8.19","-4.61","2.15","-0.23","-1.91","Current Smoker","0.90","0.08","0.02","Current Smoker"
"GSM1051861_7512560128_R06C02","7.23","-4.11","0.76","-0.07","-0.69","Current Smoker","0.60","0.26","0.14","Current Smoker"
"GSM1051862_7766130158_R01C01","11.63","-4.10","2.23","-0.56","-1.67","Current Smoker","0.92","0.06","0.02","Current Smoker"
"GSM1051863_7766130158_R02C01","9.72","-3.25","2.25","-0.38","-1.87","Current Smoker","0.92","0.07","0.01","Current Smoker"
"GSM1051864_7766130158_R03C01","-2.87","-8.59","-1.09","-0.09","1.18","Never Smoker","0.07","0.20","0.72","Never Smoker"
"GSM1051865_7766130158_R04C01","-4.41","-8.78","-1.38","-0.10","1.47","Never Smoker","0.05","0.16","0.79","Never Smoker"
"GSM1051866_7766130158_R05C01","-6.67","-10.82","-1.35","-0.29","1.64","Never Smoker","0.04","0.12","0.84","Never Smoker"
"GSM1051867_7766130158_R06C01","4.86","-3.84","0.29","0.24","-0.53","Current Smoker","0.42","0.40","0.18","Current Smoker"
"GSM1051868_7766130158_R01C02","3.62","-6.61","0.29","0.05","-0.34","Current Smoker","0.43","0.34","0.23","Current Smoker"
"GSM1051869_7766130158_R02C02","0.49","-7.94","-0.75","-0.08","0.83","Never Smoker","0.13","0.25","0.62","Never Smoker"
"GSM1051870_7766130158_R03C02","-0.94","-8.45","-1.08","-0.38","1.45","Never Smoker","0.06","0.13","0.81","Never Smoker"
"GSM1051871_7766130158_R05C02","-6.24","-9.49","-1.72","0.25","1.46","Never Smoker","0.03","0.22","0.75","Never Smoker"
"GSM1051872_7766130158_R06C02","-0.94","-6.91","-0.84","0.17","0.67","Never Smoker","0.12","0.33","0.55","Never Smoker"
"GSM1051873_7766130166_R01C01","15.70","-4.54","2.35","-0.84","-1.50","Current Smoker","0.94","0.04","0.02","Current Smoker"
"GSM1051874_7766130166_R02C01","5.99","-4.85","1.44","-0.01","-1.42","Current Smoker","0.77","0.18","0.04","Current Smoker"
"GSM1051875_7766130166_R03C01","-0.46","-6.31","0.39","-0.64","0.24","Current Smoker","0.45","0.16","0.39","Current Smoker"
"GSM1051876_7766130166_R04C01","-4.36","-8.27","-1.66","0.62","1.03","Never Smoker","0.04","0.38","0.58","Never Smoker"
"GSM1051877_7766130166_R05C01","-1.19","-9.41","-1.50","0.24","1.26","Never Smoker","0.04","0.25","0.70","Never Smoker"
"GSM1051878_7766130166_R06C01","-2.46","-7.76","-0.51","-0.04","0.55","Never Smoker","0.18","0.29","0.53","Never Smoker"
"GSM1051879_7766130166_R01C02","7.51","-1.64","2.62","-0.51","-2.12","Current Smoker","0.95","0.04","0.01","Current Smoker"
"GSM1051880_7766130166_R02C02","1.82","-5.47","0.41","-0.05","-0.35","Current Smoker","0.48","0.30","0.22","Current Smoker"
"GSM1051881_7766130166_R03C02","-3.34","-9.04","-1.06","-0.18","1.24","Never Smoker","0.07","0.18","0.74","Never Smoker"
"GSM1051882_7766130166_R04C02","-2.78","-8.31","-1.29","0.14","1.15","Never Smoker","0.06","0.25","0.69","Never Smoker"
"GSM1051883_7766130166_R05C02","7.11","-5.52","0.81","-0.46","-0.35","Current Smoker","0.63","0.18","0.20","Current Smoker"
"GSM1051884_7766130166_R06C02","0.59","-7.72","-0.14","0.00","0.14","Never Smoker","0.29","0.33","0.38","Never Smoker"
"GSM1051885_5730192015_R01C01","3.13","-7.27","-0.93","-0.01","0.94","Never Smoker","0.10","0.25","0.65","Never Smoker"
"GSM1051886_5730192015_R04C01","-0.80","-7.33","-0.57","0.13","0.43","Never Smoker","0.17","0.35","0.47","Never Smoker"
"GSM1051887_5730192015_R05C01","3.53","-7.32","-0.20","-0.11","0.30","Never Smoker","0.27","0.29","0.44","Never Smoker"
"GSM1051888_5730192015_R06C01","4.67","-3.10","1.43","-0.21","-1.22","Current Smoker","0.79","0.15","0.06","Current Smoker"
"GSM1051889_5730192015_R01C02","17.52","-2.61","3.05","-0.81","-2.24","Current Smoker","0.97","0.02","0.00","Current Smoker"
"GSM1051890_5730192015_R02C02","4.46","-5.24","1.84","-0.63","-1.21","Current Smoker","0.88","0.07","0.04","Current Smoker"
"GSM1051891_5730192015_R03C02","-1.81","-9.67","-1.31","0.00","1.31","Never Smoker","0.05","0.20","0.75","Never Smoker"
"GSM1051892_5730192015_R05C02","6.86","-5.94","0.63","0.08","-0.71","Current Smoker","0.54","0.31","0.14","Current Smoker"
"GSM1051893_5730192015_R06C02","-3.38","-8.80","-0.41","-0.34","0.75","Never Smoker","0.19","0.20","0.61","Never Smoker"
"GSM1051894_5730192033_R01C01","12.67","-2.18","2.79","-0.08","-2.71","Current Smoker","0.94","0.05","0.00","Current Smoker"
"GSM1051895_5730192033_R02C01","-6.94","-8.82","-1.07","-0.18","1.26","Never Smoker","0.07","0.18","0.75","Never Smoker"
"GSM1051896_5730192033_R04C01","1.56","-5.48","0.38","-0.39","0.01","Current Smoker","0.46","0.22","0.32","Current Smoker"
"GSM1051897_5730192033_R05C01","-1.71","-8.84","-0.82","0.02","0.80","Never Smoker","0.12","0.28","0.60","Never Smoker"
"GSM1051898_5730192033_R06C01","1.31","-8.85","-0.63","0.19","0.44","Never Smoker","0.16","0.37","0.47","Never Smoker"
"GSM1051899_5730192033_R02C02","6.99","-4.19","1.11","-0.25","-0.86","Current Smoker","0.72","0.18","0.10","Current Smoker"
"GSM1051900_5730192033_R05C02","10.92","-3.43","1.68","0.19","-1.87","Current Smoker","0.80","0.18","0.02","Current Smoker"
"GSM1051901_5730192053_R01C01","13.23","-3.86","2.93","-0.60","-2.34","Current Smoker","0.97","0.03","0.00","Current Smoker"
"GSM1051902_5730192053_R02C01","0.81","-7.26","-0.57","-0.40","0.97","Never Smoker","0.15","0.17","0.68","Never Smoker"
"GSM1051903_5730192053_R03C01","2.25","-7.14","-0.93","0.06","0.87","Never Smoker","0.10","0.28","0.62","Never Smoker"
"GSM1051904_5730192053_R05C01","5.75","-4.38","0.98","0.11","-1.09","Current Smoker","0.65","0.27","0.08","Current Smoker"
"GSM1051905_5730192053_R06C01","4.74","-7.49","0.23","-0.60","0.37","Never Smoker","0.39","0.17","0.45","Never Smoker"
"GSM1051906_5730192053_R01C02","-1.83","-7.39","-1.44","-0.02","1.46","Never Smoker","0.04","0.18","0.78","Never Smoker"
"GSM1051907_5730192053_R02C02","4.19","-5.75","1.12","-0.65","-0.47","Current Smoker","0.73","0.12","0.15","Current Smoker"
"GSM1051908_5730192053_R05C02","1.44","-7.39","-0.06","0.35","-0.29","Former Smoker","0.30","0.46","0.24","Former Smoker"
"GSM1051909_5730192053_R06C02","1.55","-5.15","0.29","0.29","-0.58","Former Smoker","0.41","0.41","0.17","Former Smoker"
"GSM1051910_5730504013_R02C01","14.89","-2.45","2.44","-0.58","-1.85","Current Smoker","0.94","0.05","0.01","Current Smoker"
"GSM1051911_5730504013_R03C01","-1.45","-9.45","-1.59","-0.17","1.76","Never Smoker","0.03","0.12","0.85","Never Smoker"
"GSM1051912_5730504013_R06C01","9.65","-4.55","1.99","-0.45","-1.54","Current Smoker","0.90","0.08","0.03","Current Smoker"
"GSM1051913_5730504013_R01C02","-0.41","-6.72","0.18","0.05","-0.22","Current Smoker","0.39","0.34","0.26","Current Smoker"
"GSM1051914_5730504013_R05C02","-2.70","-9.07","-1.15","0.31","0.83","Never Smoker","0.08","0.34","0.58","Never Smoker"
"GSM1051915_5730504013_R06C02","1.15","-3.82","0.99","-0.72","-0.27","Current Smoker","0.68","0.12","0.19","Current Smoker"
"GSM1051916_5730504014_R01C01","8.15","-4.82","1.39","-0.09","-1.31","Current Smoker","0.77","0.18","0.05","Current Smoker"
"GSM1051917_5730504014_R03C01","5.42","-5.48","0.36","0.16","-0.52","Current Smoker","0.45","0.37","0.19","Current Smoker"
"GSM1051918_5730504014_R04C01","5.23","-7.04","0.26","-0.01","-0.25","Current Smoker","0.42","0.32","0.25","Current Smoker"
"GSM1051919_5730504014_R05C01","-2.44","-9.75","-1.00","0.17","0.83","Never Smoker","0.10","0.31","0.60","Never Smoker"
"GSM1051920_5730504014_R06C01","-2.81","-9.87","-1.10","0.00","1.10","Never Smoker","0.08","0.23","0.69","Never Smoker"
"GSM1051921_5730504014_R01C02","-3.32","-7.62","-0.64","0.24","0.40","Never Smoker","0.16","0.39","0.45","Never Smoker"
"GSM1051922_5730504014_R02C02","-2.78","-8.93","-1.23","-0.05","1.28","Never Smoker","0.06","0.20","0.74","Never Smoker"
"GSM1051923_5730504014_R03C02","9.03","-7.05","1.81","-0.44","-1.37","Current Smoker","0.87","0.09","0.04","Current Smoker"
"GSM1051924_5730504014_R05C02","0.02","-8.86","-1.36","0.10","1.27","Never Smoker","0.05","0.22","0.72","Never Smoker"
"GSM1051925_5730504014_R06C02","-2.18","-9.73","-1.37","-0.20","1.57","Never Smoker","0.04","0.14","0.82","Never Smoker"
"GSM1051926_5730504015_R01C01","1.83","-7.98","-1.00","0.06","0.93","Never Smoker","0.09","0.27","0.64","Never Smoker"
"GSM1051927_5730504015_R02C01","3.74","-8.16","-0.57","-0.13","0.70","Never Smoker","0.16","0.25","0.58","Never Smoker"
"GSM1051928_5730504015_R03C01","0.55","-8.59","-0.63","-0.44","1.07","Never Smoker","0.13","0.16","0.71","Never Smoker"
"GSM1051929_5730504015_R04C01","-1.78","-8.90","-1.15","0.61","0.55","Former Smoker","0.08","0.47","0.44","Former Smoker"
"GSM1051930_5730504015_R05C01","-8.35","-9.91","-1.77","-0.17","1.94","Never Smoker","0.02","0.11","0.87","Never Smoker"
"GSM1051931_5730504015_R05C02","-2.25","-8.75","-1.26","0.19","1.08","Never Smoker","0.06","0.27","0.66","Never Smoker"
"GSM1051932_5730504015_R06C02","4.33","-5.27","0.43","-0.34","-0.09","Current Smoker","0.49","0.23","0.29","Current Smoker"
"GSM1051933_5730504031_R01C01","-1.79","-9.33","-0.99","-0.63","1.61","Never Smoker","0.06","0.09","0.85","Never Smoker"
"GSM1051934_5730504031_R04C01","2.57","-4.57","0.61","0.36","-0.97","Current Smoker","0.50","0.39","0.10","Current Smoker"
"GSM1051935_5730504031_R06C01","-0.78","-9.24","-1.15","-0.53","1.68","Never Smoker","0.05","0.09","0.86","Never Smoker"
"GSM1051936_5730504031_R01C02","8.62","-3.39","1.20","0.02","-1.22","Current Smoker","0.72","0.22","0.06","Current Smoker"
"GSM1051937_5730504031_R04C02","-3.40","-9.22","-1.62","0.15","1.47","Never Smoker","0.03","0.20","0.76","Never Smoker"
"GSM1051938_5730504031_R05C02","0.64","-6.52","-0.78","0.16","0.62","Never Smoker","0.13","0.34","0.53","Never Smoker"
"GSM1051939_5730504060_R01C01","-2.95","-9.86","-2.01","0.25","1.76","Never Smoker","0.02","0.18","0.80","Never Smoker"
"GSM1051940_5730504060_R02C01","-4.11","-8.55","-0.97","-0.08","1.06","Never Smoker","0.09","0.22","0.69","Never Smoker"
"GSM1051941_5730504060_R03C01","-1.00","-7.02","-0.51","-0.77","1.28","Never Smoker","0.13","0.10","0.77","Never Smoker"
"GSM1051942_5730504060_R05C01","12.04","-2.34","2.59","-0.22","-2.37","Current Smoker","0.94","0.06","0.01","Current Smoker"
"GSM1051943_5730504060_R06C01","-5.63","-8.60","-1.63","-0.19","1.82","Never Smoker","0.03","0.12","0.86","Never Smoker"
"GSM1051944_5730504060_R02C02","-3.83","-10.01","-1.27","0.07","1.19","Never Smoker","0.06","0.23","0.71","Never Smoker"
